iter	Passed	Remaining
485	563	596
486	565	595
487	566	593
488	566	592
489	567	591
490	568	589
491	569	588
492	570	587
493	571	585
494	572	584
495	574	583
496	575	582
497	576	581
498	578	580
499	579	579
500	580	578
501	581	576
502	582	575
503	583	573
504	584	572
505	584	570
506	585	569
507	586	567
508	587	566
509	588	565
510	589	563
511	590	562
512	591	561
513	592	560
514	593	558
515	594	557
516	594	555
517	595	554
518	596	552
519	597	551
520	598	549
521	598	548
522	599	546
523	600	545
524	601	543
525	601	542
526	602	541
527	603	539
528	604	538
529	605	537
530	607	536
531	607	534
532	608	533
533	609	531
534	610	530
535	611	529
536	611	527
537	612	526
538	613	524
539	614	523
540	615	521
541	615	520
542	616	519
543	617	517
544	618	516
545	619	515
546	620	513
547	621	512
548	622	511
549	623	510
550	624	508
551	625	507
552	626	506
553	627	504
554	627	503
555	628	502
556	629	500
557	630	499
558	631	497
559	631	496
560	632	494
561	633	493
562	634	492
563	635	491
564	636	490
565	637	488
566	638	487
567	639	486
568	640	485
569	641	483
570	642	482
571	642	481
572	643	479
573	644	478
574	645	476
575	645	475
576	646	474
577	647	472
578	648	471
579	649	470
580	650	469
581	651	468
582	653	467
583	654	465
584	655	464
585	656	463
586	656	462
587	657	460
588	658	459
589	659	458
590	660	456
591	660	455
592	661	454
593	662	452
594	663	451
595	663	450
596	665	449
597	666	447
598	667	446
599	668	445
600	669	444
601	670	443
602	671	441
603	672	440
604	673	439
605	674	438
606	674	436
607	675	435
608	676	434
609	677	433
610	678	431
611	679	430
612	680	429
613	681	428
614	682	427
615	683	426
616	684	424
617	685	423
618	685	422
619	686	420
620	687	419
621	688	418
622	688	416
623	689	415
624	690	414
625	691	413
626	693	412
627	696	412
628	699	412
629	701	412
630	704	411
631	707	411
632	709	411
633	711	410
634	714	410
635	716	409
636	718	409
637	721	409
638	723	408
639	725	407
640	726	407
641	728	406
642	729	405
643	731	404
644	734	404
645	736	403
646	739	403
647	741	402
648	743	402
649	746	401
650	749	402
651	751	401
652	754	400
653	755	399
654	757	399
655	759	398
656	760	397
657	763	396
658	765	396
659	767	395
660	769	394
661	770	393
662	771	392
663	773	391
664	774	390
665	776	389
666	779	388
667	780	387
668	782	387
669	783	386
670	784	384
671	786	383
672	787	382
673	788	381
674	791	381
675	793	380
676	795	379
677	796	378
678	798	377
679	800	376
680	802	375
681	803	374
682	805	374
683	807	373
684	809	372
685	811	371
686	812	370
687	813	368
688	814	367
689	816	366
690	817	365
691	818	364
692	820	363
693	822	362
694	824	361
695	826	361
696	827	359
697	828	358
698	830	357
699	832	356
700	834	355
701	836	354
702	838	354
703	839	353
704	841	352
705	842	350
706	844	349
707	845	348
708	847	347
709	848	346
710	849	345
711	851	344
712	853	343
713	855	342
714	856	341
715	857	340
716	859	339
717	860	337
718	861	336
719	863	335
720	865	334
721	867	333
722	869	332
723	871	332
724	872	330
725	873	329
726	874	328
727	876	327
728	877	326
729	878	325
730	880	324
731	881	322
732	883	321
733	884	320
734	885	319
735	886	318
736	888	316
737	889	315
738	889	314
739	890	313
740	891	311
741	892	310
742	893	309
743	895	308
744	897	307
745	898	305
746	900	304
747	900	303
748	901	302
749	903	301
750	904	299
751	905	298
752	906	297
753	907	295
754	907	294
755	908	293
756	910	292
757	911	291
758	913	289
759	914	288
760	915	287
761	916	286
762	917	284
763	918	283
764	919	282
765	920	281
766	921	279
767	922	278
768	923	277
769	924	276
770	925	274
771	926	273
772	927	272
773	928	271
774	929	269
775	930	268
776	931	267
777	932	266
778	933	264
779	934	263
780	935	262
781	936	261
782	937	259
783	938	258
784	939	257
785	941	256
786	942	254
787	942	253
788	944	252
789	945	251
790	946	250
791	947	248
792	948	247
793	949	246
794	950	245
795	951	243
796	952	242
797	953	241
798	954	240
799	955	238
800	956	237
801	957	236
802	958	235
803	959	233
804	960	232
805	961	231
806	962	230
807	963	228
808	963	227
809	964	226
810	965	225
811	966	223
812	967	222
813	968	221
814	970	220
815	971	219
816	972	217
817	973	216
818	975	215
819	976	214
820	977	213
821	978	211
822	978	210
823	979	209
824	980	207
825	981	206
826	981	205
827	982	204
828	983	202
829	984	201
830	985	200
831	986	199
832	987	197
833	988	196
834	989	195
835	990	194
836	990	192
837	991	191
838	992	190
839	993	189
840	994	187
841	994	186
842	995	185
843	996	184
844	997	182
845	998	181
846	999	180
847	1000	179
848	1001	178
849	1002	176
850	1003	175
851	1003	174
852	1004	173
853	1005	171
854	1006	170
855	1007	169
856	1008	168
857	1009	167
858	1010	165
859	1011	164
860	1012	163
861	1013	162
862	1014	161
863	1015	159
864	1016	158
865	1017	157
866	1018	156
867	1019	155
868	1020	153
869	1021	152
870	1022	151
871	1022	150
872	1023	148
873	1024	147
874	1025	146
875	1026	145
876	1026	144
877	1027	142
878	1028	141
879	1029	140
880	1030	139
881	1031	138
882	1032	136
883	1033	135
884	1034	134
885	1034	133
886	1035	131
887	1036	130
888	1036	129
889	1037	128
890	1038	127
891	1039	125
892	1039	124
893	1040	123
894	1041	122
895	1042	120
896	1042	119
897	1044	118
898	1045	117
899	1046	116
900	1047	115
901	1047	113
902	1048	112
903	1049	111
904	1050	110
905	1050	109
906	1051	107
907	1052	106
908	1053	105
909	1054	104
910	1054	103
911	1055	101
912	1056	100
913	1057	99
914	1058	98
915	1059	97
916	1060	96
917	1061	94
918	1062	93
919	1063	92
920	1064	91
921	1064	90
922	1065	88
923	1066	87
924	1067	86
925	1067	85
926	1068	84
927	1069	82
928	1070	81
929	1070	80
930	1071	79
931	1072	78
932	1073	77
933	1074	75
934	1075	74
935	1076	73
936	1077	72
937	1078	71
938	1078	70
939	1079	68
940	1080	67
941	1081	66
942	1082	65
943	1083	64
944	1084	63
945	1085	61
946	1085	60
947	1086	59
948	1087	58
949	1088	57
950	1089	56
951	1090	54
952	1091	53
953	1092	52
954	1093	51
955	1094	50
956	1094	49
957	1095	48
958	1096	46
959	1097	45
960	1097	44
961	1098	43
962	1099	42
963	1100	41
964	1101	39
965	1101	38
966	1102	37
967	1103	36
968	1104	35
969	1105	34
970	1106	33
971	1107	31
972	1108	30
973	1109	29
974	1109	28
975	1110	27
976	1111	26
977	1112	25
978	1112	23
979	1113	22
980	1114	21
981	1115	20
982	1116	19
983	1116	18
984	1117	17
985	1118	15
986	1119	14
987	1120	13
988	1121	12
989	1122	11
990	1123	10
991	1124	9
992	1125	7
993	1125	6
994	1126	5
995	1127	4
996	1128	3
997	1128	2
998	1129	1
999	1130	0
